Title,Company Name,Location,Posted,Type,Experience,Link
"Vice President of Product Engineering, 2 Hour Learning (Remote) - $400,000/year USD",Crossover,"Dubai, United Arab Emirates ",1 day ago,Full Time,,https://wuzzuf.net/jobs/p/g/jzomwlxpy9lk-vice-president-of-product-engineering-2-hour-learning-remote-400000year-usd-crossover-dubai-united-arab-emirates
ITS Communications/Telecommunications Engineer,Parsons Corporation,"Dubai, United Arab Emirates ",1 day ago,Full Time,,https://wuzzuf.net/jobs/p/g/yvo2n7sz5pp7-its-communicationstelecommunications-engineer-parsons-corporation-dubai-united-arab-emirates
Business Development Manager (HEBREW-SPEAKING),Major Developments,"Dubai, United Arab Emirates ",1 day ago,Full Time,,https://wuzzuf.net/jobs/p/g/q1r7dmqiness-business-development-manager-hebrew-speaking-major-developments-dubai-united-arab-emirates
Senior Amazon Ads Expert (Remote),Jobgether,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/nl2m10aaflli-senior-amazon-ads-expert-remote-jobgether-riyadh-saudi-arabia
Administrative Systems Officer,AALICO,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/rljb6mvkvi92-administrative-systems-officer-aalico-riyadh-saudi-arabia
Field Service Technician (Engine Technician),RollsRoyce,"Makkah, Saudi Arabia ",2 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/llu7agmib58y-field-service-technician-engine-technician-rolls-royce-makkah-saudi-arabia
ERP Human Resources Senior Manager,Miral Experiences,"Dubai, United Arab Emirates ",3 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/7rqlj2prxy4x-erp-human-resources-senior-manager-miral-experiences-dubai-united-arab-emirates
"Lead Analyst, Cost Controller II",Ma'aden,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/kv3dmhevhxa7-lead-analyst-cost-controller-ii-maaden-riyadh-saudi-arabia
Senior Document Control,WSP in the Middle East,"Riyadh, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/kldaaaki8uim-senior-document-control-wsp-in-the-middle-east-riyadh-saudi-arabia
NetSuite Administrator,Canonical,"Makkah, Saudi Arabia ",4 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ep1wa9yp67jl-netsuite-administrator-canonical-makkah-saudi-arabia
Project Engineering & Delivery Manager,Larsen & Toubro,"Riyadh, Saudi Arabia ",4 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/om8itwwdxg9i-project-engineering-delivery-manager-larsen-toubro-riyadh-saudi-arabia
Senior CRM Specialist (F/M),CHAUMET,"Dubai, United Arab Emirates ",6 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/sdgfo7ueb7er-senior-crm-specialist-fm-chaumet-dubai-united-arab-emirates
"Manager, Corporate Functions Process Excellence (1036)",Team Saudi,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/pxx8pdkgnbub-manager-corporate-functions-process-excellence-1036-team-saudi-riyadh-saudi-arabia
"Solution Specialist, Manager (Experienced in Network and Cybersecurity Sales Domain)",SITA,"Dubai, United Arab Emirates ",3 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/lbwcasgiwtul-solution-specialist-manager-experienced-in-network-and-cybersecurity-sales-domain-sita-dubai-united-arab-emirates
Alliances Field Engineer,Canonical,"Riyadh, Saudi Arabia ",4 hours ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/p27cclwbxtl8-alliances-field-engineer-canonical-riyadh-saudi-arabia
Associate Linux Support Engineer,Canonical,"Riyadh, Saudi Arabia ",4 hours ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/eeisgzay1wdu-associate-linux-support-engineer-canonical-riyadh-saudi-arabia
Teacher - MFL - Aldar Education (AY 26/27),Aldar Education,"Dubai, United Arab Emirates ",6 hours ago,Full Time,,https://wuzzuf.net/jobs/p/g/bnnvbyymobfv-teacher-mfl-aldar-education-ay-2627-aldar-education-dubai-united-arab-emirates
