Title,Company Name,Location,Posted,Type,Experience,Link
Senior Scheduling Control Engineer,Energy Job Search,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ulpaksbjfz9t-senior-scheduling-control-engineer-energy-job-search-riyadh-saudi-arabia
Technical Account Manager - Eastern Province,Veeam Software,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/719f0lz5vjrc-technical-account-manager-eastern-province-veeam-software-riyadh-saudi-arabia
Delivery Manager (Enterprise AI & ERP Solutions),Inception,"Dubai, United Arab Emirates ",7 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/sheq6ltec16f-delivery-manager-enterprise-ai-erp-solutions-inception-dubai-united-arab-emirates
Regional Solutions Consultant,Honeywell,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/m6vnu9y0z0w1-regional-solutions-consultant-honeywell-riyadh-saudi-arabia
Sector Development Director,Confidential Government,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/rgdy0ca5wvzb-sector-development-director-confidential-government-riyadh-saudi-arabia
Project Manager - ONESOURCE,Energy Job Search,"Dubai, United Arab Emirates ",5 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/ucujtr260bwp-project-manager-onesource-energy-job-search-dubai-united-arab-emirates
IT Application Expert,stc,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/c9atsn3vpph1-it-application-expert-stc-riyadh-saudi-arabia
Senior Network Infrastructure Architect,Emdad Al Khebrat,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/7v4jyl2tavtt-senior-network-infrastructure-architect-emdad-al-khebrat-riyadh-saudi-arabia
Projects Manager UAE,LIXIL,"Dubai, United Arab Emirates ",9 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/zicoqbz1dpu1-projects-manager-uae-lixil-dubai-united-arab-emirates
Chief Information Security Officer,Foreground.,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/rb9soube9kzs-chief-information-security-officer-foreground-riyadh-saudi-arabia
"Sr Market Access Manager, KSA (Hybrid)",Insulet Corporation,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/soxduzdcpcfs-sr-market-access-manager-ksa-hybrid-insulet-corporation-riyadh-saudi-arabia
SAP MM Consultant,The WaterWay Developments,"New Cairo, Cairo, Egypt ",2 months ago,Full Time,2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/guil0txpsu1f-sap-mm-consultant-the-waterway-developments-cairo-egypt
In-Building Solutions Regional Implementation Manager- C1,Capgemini Engineering,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/2dyukho07hjn-in-building-solutions-regional-implementation-manager-c1-capgemini-engineering-riyadh-saudi-arabia
Engineering Interface Manager,"Hill International, Inc.","Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/yn3hosdsmyfi-engineering-interface-manager-hill-international-inc-riyadh-saudi-arabia
Lead Accounting & Financial Technology Consultant - Remote,Jobgether,"Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/88zbaxaichmu-lead-accounting-financial-technology-consultant-remote-jobgether-riyadh-saudi-arabia
Manager Service Delivery,C.H. Robinson,"Dubai, United Arab Emirates ",8 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/zwj4hyjseoa2-manager-service-delivery-c-h-robinson-dubai-united-arab-emirates
Cybersecurity Specialist,NEOM,"Tabuk, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ybqzvaoystcj-cybersecurity-specialist-neom-tabuk-saudi-arabia
"Senior Managing Consultant, Services Business Development, Government Segment, EEMEA",Mastercard,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/9vkxqrhrpwmb-senior-managing-consultant-services-business-development-government-segment-eemea-mastercard-riyadh-saudi-arabia
IT Consultant Cybersecurity - Platinion,Boston Consulting Group (BCG),"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/84amgkq3o9wb-it-consultant-cybersecurity-platinion-boston-consulting-group-bcg-riyadh-saudi-arabia
Pre Sales Director (Agentic AI Platform),Robert Walters,"Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/d4h6yzi6bs1o-pre-sales-director-agentic-ai-platform-robert-walters-riyadh-saudi-arabia
Senior Sales Manager - Leisure,Marriott International,"Dubai, United Arab Emirates ",7 days ago,Freelance / Project,,https://wuzzuf.net/jobs/p/g/jojdwlmizyfq-senior-sales-manager-leisure-marriott-international-dubai-united-arab-emirates
IT Associate - Platinion,Boston Consulting Group (BCG),"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/w3epslwuedwe-it-associate-platinion-boston-consulting-group-bcg-riyadh-saudi-arabia
Technology Strategy/Enterprise Architect Consultant,Accenture Middle East,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/8kg2t29propl-technology-strategyenterprise-architect-consultant-accenture-middle-east-riyadh-saudi-arabia
Technology Strategy/Enterprise Architect Consultant – Banking Sector,Accenture Middle East,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/gpnpo6c1gmls-technology-strategyenterprise-architect-consultant-banking-sector-accenture-middle-east-riyadh-saudi-arabia
Sr. Technician I,The Helicopter Company,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/dhksjmkrdoz5-sr-technician-i-the-helicopter-company-riyadh-saudi-arabia
Senior Staff Veterinarian (Dairy Farming),Almarai  المراعي,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/xbhoqxprsdpv-senior-staff-veterinarian-dairy-farming-almarai-almraaay-riyadh-saudi-arabia
SAP RE-FX Consultant,The WaterWay Developments,"New Cairo, Cairo, Egypt ",2 months ago,Full Time,2 - 5 Yrs of Exp,https://wuzzuf.net/jobs/p/g73oygzjnsoh-sap-re-fx-consultant-the-waterway-developments-cairo-egypt
Executive Vice President of Operations - Giga Projects,Confidential Government,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/najwtf9gq0nx-executive-vice-president-of-operations-giga-projects-confidential-government-riyadh-saudi-arabia
Senior Energy Consultant,GHD,"Dubai, United Arab Emirates ",9 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/rsulpzfio1kn-senior-energy-consultant-ghd-dubai-united-arab-emirates
Senior Business Consultant - IBOR - Riyadh Only,SimCorp,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/l8ujhp2ch5p2-senior-business-consultant-ibor-riyadh-only-simcorp-riyadh-saudi-arabia
Senior Business Consultant - Alternative Investments - Riyadh Only,SimCorp,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/81hslkwunlw3-senior-business-consultant-alternative-investments-riyadh-only-simcorp-riyadh-saudi-arabia
Engineering Demand Director,Takamol Holding,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/xdbzszjmin8u-engineering-demand-director-takamol-holding-riyadh-saudi-arabia
Specification Sales,"Jotun Middle East, India and Africa (MEIA)","Makkah, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/kqgmgmzi3984-specification-sales-jotun-middle-east-india-and-africa-meia-makkah-saudi-arabia
Customer Support Specialist (Remote),Pulse Media,"Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/fqwjyxofkv29-customer-support-specialist-remote-pulse-media-dubai-united-arab-emirates
HSE Lead,GHD,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/5srvlr1qcevm-hse-lead-ghd-dubai-united-arab-emirates
"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/9atmv84ehmnp-senior-analyst-investor-relations-mypetrocareer-com-dubai-united-arab-emirates
DEVOPS ENGINEER (REMOTE),Jobgether,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/fmzd4apwcq2l-devops-engineer-remote-jobgether-dubai-united-arab-emirates
GitOps Engineering Manager,Canonical,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ksezj45ptwv3-gitops-engineering-manager-canonical-riyadh-saudi-arabia
Senior Quality Assurance Engineer,"Hill International, Inc.","Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/hztbpyvorusl-senior-quality-assurance-engineer-hill-international-inc-riyadh-saudi-arabia
PMIS Technical Specialist,Parsons Corporation,"Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/95zwmwiwv21p-pmis-technical-specialist-parsons-corporation-riyadh-saudi-arabia
"Associate Managing Consultant, Advisors Program Management (Payments & Program Management Consultant)",Mastercard,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/lr01twvajh7r-associate-managing-consultant-advisors-program-management-payments-program-management-consultant-mastercard-riyadh-saudi-arabia
Junior Material Engineer,Saipem,"Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/k4g8yxfkrixl-junior-material-engineer-saipem-riyadh-saudi-arabia
"QA Automation Engineer (Riyadh, KSA)",FileCloud,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/yvv669lulqdk-qa-automation-engineer-riyadh-ksa-filecloud-riyadh-saudi-arabia
HPC Software Engineer,Canonical,"Dubai, United Arab Emirates ",9 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/rmhbou7lcb1d-hpc-software-engineer-canonical-dubai-united-arab-emirates
Software Engineer - Python - Container Images,Canonical,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/2u5jwco958ld-software-engineer-python-container-images-canonical-riyadh-saudi-arabia
Business Services Team Manager,Canonical,"Dubai, United Arab Emirates ",9 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/f5yuqnkyzsi7-business-services-team-manager-canonical-dubai-united-arab-emirates
Cybersecurity Specialist,SYSTRA,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/1tdqzmrz7xqf-cybersecurity-specialist-systra-riyadh-saudi-arabia
"Senior Account Executive, Oil & Gas, Manufacturing, Retail & Distribution (MRD) – KSA Market",Mozn,"Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ky1ccvaix4or-senior-account-executive-oil-gas-manufacturing-retail-distribution-mrd-ksa-market-mozn-riyadh-saudi-arabia
"Senior Managing Consultant, Services Business Development, Telecommunications Segment",Mastercard,"Dubai, United Arab Emirates ",8 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/l5aut7fjli5e-senior-managing-consultant-services-business-development-telecommunications-segment-mastercard-dubai-united-arab-emirates
DevOps Engineer - AWS,"Bespin Global MEA, an e& enterprise Company","Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/g5d2abx8tjhu-devops-engineer-aws-bespin-global-mea-an-e-enterprise-company-dubai-united-arab-emirates
Trainee - Finance,Chalhoub Group,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/gvn9yc1ajjj2-trainee-finance-chalhoub-group-dubai-united-arab-emirates
IT Manager,Burjline Builders,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/3pujqaltnlf7-it-manager-burjline-builders-riyadh-saudi-arabia
Phase Level Lead (PLL) - Upper Key Stage 2 - Mamoura British Academy (AY 2026/2027),Aldar Education,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/3pl91jesahct-phase-level-lead-pll-upper-key-stage-2-mamoura-british-academy-ay-20262027-aldar-education-dubai-united-arab-emirates
Programme Director,AtkinsRéalis,"Dubai, United Arab Emirates ",9 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/9iymyhzmgkc6-programme-director-atkinsrealis-dubai-united-arab-emirates
Key Account Manager,NicheHR Global,"Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/y9sov67awkum-key-account-manager-nichehr-global-dubai-united-arab-emirates
"QE Automation Engineer (Riyadh, KSA)",FileCloud,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/gsudespk1cmj-qe-automation-engineer-riyadh-ksa-filecloud-riyadh-saudi-arabia
Senior Project Surveyor,AECOM,"Dubai, United Arab Emirates ",10 days ago,Freelance / Project,,https://wuzzuf.net/jobs/p/g/jtvylgt58tws-senior-project-surveyor-aecom-dubai-united-arab-emirates
PMIS Manager,Parsons Corporation,"Riyadh, Saudi Arabia ",9 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/rmwitferqzxr-pmis-manager-parsons-corporation-riyadh-saudi-arabia
Senior Planning Engineer,GHD,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/gz22sgunpxzl-senior-planning-engineer-ghd-dubai-united-arab-emirates
"Manager, Projects Planning &#038; Cost (Integrated Proj Planning &#038; Cost Dept",MyPetroCareer.com,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/miunf6sqa9rr-manager-projects-planning-amp038-cost-integrated-proj-planning-amp038-cost-dept-mypetrocareer-com-dubai-united-arab-emirates
Business Analyst / Tester,Dicetek LLC,"Dubai, United Arab Emirates ",12 days ago,Freelance / Project,,https://wuzzuf.net/jobs/p/g/fxrkdgn0fjg1-business-analyst-tester-dicetek-llc-dubai-united-arab-emirates
Senior Manager - Group Insurance,Transguard Group,"Dubai, United Arab Emirates ",10 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/2itswmb64a2z-senior-manager-group-insurance-transguard-group-dubai-united-arab-emirates
Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/6dibbrnij0ph-consultant-luxury-tech-riyadh-park-chalhoub-group-riyadh-saudi-arabia
Project Engineer (Logistics),WSP in the Middle East,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/cjntrklbxppv-project-engineer-logistics-wsp-in-the-middle-east-riyadh-saudi-arabia
Linux Software Engineer - Ubuntu for Next-Gen Silicon (multiple roles and seniority levels),Canonical,"Riyadh, Saudi Arabia ",11 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/odtqpasg44zj-linux-software-engineer-ubuntu-for-next-gen-silicon-multiple-roles-and-seniority-levels-canonical-riyadh-saudi-arabia
Salesforce Support Consultant,Dicetek LLC,"Dubai, United Arab Emirates ",13 days ago,Freelance / Project,,https://wuzzuf.net/jobs/p/g/qt99pvvgjbpx-salesforce-support-consultant-dicetek-llc-dubai-united-arab-emirates
Portworx -Kubernetes Storage Consultant,LETITBEX AI,"Dubai, United Arab Emirates ",14 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/uaawft5zstao-portworx-kubernetes-storage-consultant-letitbex-ai-dubai-united-arab-emirates
IT Manager,Kempinski Hotels,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/r04xyfvnyb8w-it-manager-kempinski-hotels-riyadh-saudi-arabia
IT Infrastructure Specialist (Arabic Speaker),Dicetek LLC,"Dubai, United Arab Emirates ",13 days ago,Freelance / Project,,https://wuzzuf.net/jobs/p/g/ondz42wlfwjt-it-infrastructure-specialist-arabic-speaker-dicetek-llc-dubai-united-arab-emirates
General Affairs Supervisor,Yokogawa,"Riyadh, Saudi Arabia ",10 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/6vkmc4mcupfn-general-affairs-supervisor-yokogawa-riyadh-saudi-arabia
Lead Compliance Specialist - REMOTE,Jobgether,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/6tzg34kvxjnc-lead-compliance-specialist-remote-jobgether-riyadh-saudi-arabia
Service Operation Specialist,Sungrow MENA & Central Asia,"Dubai, United Arab Emirates ",15 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/hep3n2jqkxlc-service-operation-specialist-sungrow-mena-central-asia-dubai-united-arab-emirates
Microwave Rollout Manager,Capgemini Engineering,"Riyadh, Saudi Arabia ",12 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/tpjvffrcjr95-microwave-rollout-manager-capgemini-engineering-riyadh-saudi-arabia
"Technician, Lab (Cementing)",MyPetroCareer.com,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/myoae1pkekpn-technician-lab-cementing-mypetrocareer-com-dubai-united-arab-emirates
Senior Automation & AI Manager,Careem,"Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/xkmzmgck59qd-senior-automation-ai-manager-careem-dubai-united-arab-emirates
Business Analyst -Mobile Banking applications,ParamInfo,"Dubai, United Arab Emirates ",13 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/5kuphzwfjpmj-business-analyst-mobile-banking-applications-paraminfo-dubai-united-arab-emirates
"SENIOR ENGINEER, PROJECTS CONTROL",MyPetroCareer.com,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/kgpnfuuuq0lo-senior-engineer-projects-control-mypetrocareer-com-dubai-united-arab-emirates
Performance Process Engineer,Energy Job Search,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/yg9iw7khnhez-performance-process-engineer-energy-job-search-dubai-united-arab-emirates
Program Manager - Insurance System Transformation,Brainlake,"Riyadh, Saudi Arabia ",14 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/xg6vhtvoz3du-program-manager-insurance-system-transformation-brainlake-riyadh-saudi-arabia
Project Manager- IT (Software),Energy Job Search,"Dubai, United Arab Emirates ",11 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/f9tles44vctf-project-manager-it-software-energy-job-search-dubai-united-arab-emirates
Safety Specialist,KONE,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/likzgdgnr25g-safety-specialist-kone-riyadh-saudi-arabia
Engineering Manager- Ceph & Distributed Storage,Canonical,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/yopu0hunp9hi-engineering-manager-ceph-distributed-storage-canonical-dubai-united-arab-emirates
Senior QHSES Assurance Specialist (Procurement Quality Lead),Energy Job Search,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/dctdw5w1an0g-senior-qhses-assurance-specialist-procurement-quality-lead-energy-job-search-dubai-united-arab-emirates
"Senior Specialist, Program Integration",MyPetroCareer.com,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/oemyamlq765h-senior-specialist-program-integration-mypetrocareer-com-dubai-united-arab-emirates
"Senior Staff Engineer, Business Transformation(CI)",Stryker,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/lyply8ztgrbq-senior-staff-engineer-business-transformationci-stryker-riyadh-saudi-arabia
Account Manager Senior - Mobility,Nextcare,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/6fdrkkjip5lf-account-manager-senior-mobility-nextcare-dubai-united-arab-emirates
"Director, Business Development, MENA",BlackSky,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/btlghfrgrkek-director-business-development-mena-blacksky-dubai-united-arab-emirates
Senior Planning Engineer,Penspen,"Dubai, United Arab Emirates ",15 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/popnytbemt9l-senior-planning-engineer-penspen-dubai-united-arab-emirates
Senior Pre-Sales Lead – Salesforce Practice,"NTT DATA, Inc.","Riyadh, Saudi Arabia ",12 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/4cmr8nzqozfo-senior-pre-sales-lead-salesforce-practice-ntt-data-inc-riyadh-saudi-arabia
Lead of Engineering - Remote,Jobgether,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/jgnum23cicdk-lead-of-engineering-remote-jobgether-riyadh-saudi-arabia
Senior Director Business Development - Public Sector,Publicis Sapient,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/vt6v8ire8dyq-senior-director-business-development-public-sector-publicis-sapient-riyadh-saudi-arabia
"Director, FX & Commodities Structuring",Mashreq Corporate & Investment Banking Group,"Dubai, United Arab Emirates ",12 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/ldypbpxyixbu-director-fx-commodities-structuring-mashreq-corporate-investment-banking-group-dubai-united-arab-emirates
Senior Sales Systems Engineer - Riyadh,Veeam Software,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/4lvtrzaakwe2-senior-sales-systems-engineer-riyadh-veeam-software-riyadh-saudi-arabia
"Python Engineering Manager, Commercial Systems",Canonical,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ededu9002hk0-python-engineering-manager-commercial-systems-canonical-riyadh-saudi-arabia
Field Service Engineer (Technicians) - PQ,Eaton,"Dubai, United Arab Emirates ",15 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/byjjsvneyw5n-field-service-engineer-technicians-pq-eaton-dubai-united-arab-emirates
Chemist Specialist,Giza Cable Industries,"6th of October, Giza, Egypt ",2 months ago,Full Time,0 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/qzthbbnpdyyo-chemist-specialist-giza-cable-industries-giza-egypt
"Senior Associate, EH&S Generalist",carrier,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/hbxnmhepwawx-senior-associate-ehs-generalist-carrier-riyadh-saudi-arabia
Controller (REMOTE),Jobgether,"Riyadh, Saudi Arabia ",14 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/tqruhhmolqvn-controller-remote-jobgether-riyadh-saudi-arabia
IT Coordinator (UAE National) - Marriott Al Forsan,Marriott International,"Dubai, United Arab Emirates ",13 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/cn5dxoizlwbt-it-coordinator-uae-national-marriott-al-forsan-marriott-international-dubai-united-arab-emirates
"Senior Account Executive, BFSI Riyadh",Veeam Software,"Riyadh, Saudi Arabia ",13 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/slucvquivadm-senior-account-executive-bfsi-riyadh-veeam-software-riyadh-saudi-arabia
Full Stack Developer,ParamInfo,"Dubai, United Arab Emirates ",13 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/lmj4h3oleq0u-full-stack-developer-paraminfo-dubai-united-arab-emirates
Travel Operations Specialist,Canonical,"Riyadh, Saudi Arabia ",14 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ewcfkcv5jlxi-travel-operations-specialist-canonical-riyadh-saudi-arabia
"Full Stack Developer, LearnWith.AI (Remote) - $100,000/year USD",Crossover,"Dubai, United Arab Emirates ",14 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/pihvrytvgcv1-full-stack-developer-learnwithai-remote-100000year-usd-crossover-dubai-united-arab-emirates
Journey Planning Senior Specialist JOB,Department of Culture and Tourism – Abu Dhabi (DCT Abu Dhabi),"Dubai, United Arab Emirates ",15 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/v1n9nnqy9ggx-journey-planning-senior-specialist-job-department-of-culture-and-tourism-abu-dhabi-dct-abu-dhabi-dubai-united-arab-emirates
Project Manager - Ubuntu Embedded Systems,Canonical,"Makkah, Saudi Arabia ",14 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ewjprbttjmg8-project-manager-ubuntu-embedded-systems-canonical-makkah-saudi-arabia
Digital Support Specialist,Miral Experiences,"Dubai, United Arab Emirates ",15 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/bf16chmq7x0o-digital-support-specialist-miral-experiences-dubai-united-arab-emirates
Engineer - Network & Client Support - Emirati Talent,KATIM,"Dubai, United Arab Emirates ",16 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/id5pb8jlg2cl-engineer-network-client-support-emirati-talent-katim-dubai-united-arab-emirates
Network and Security Engineer (L2 Support),Yuvo,"Riyadh, Saudi Arabia ",15 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/6mxmwhlcm2ij-network-and-security-engineer-l2-support-yuvo-riyadh-saudi-arabia
"Senior Account Executive, Commercial - Abu Dhabi",Veeam Software,"Dubai, United Arab Emirates ",14 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/c5v1wtqewcss-senior-account-executive-commercial-abu-dhabi-veeam-software-dubai-united-arab-emirates
Technical Delivery Manager,Analog,"Dubai, United Arab Emirates ",14 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/pl2wuyyetzny-technical-delivery-manager-analog-dubai-united-arab-emirates
Graduate Engineer (Fresh Graduates),Velosi Integrity & Safety Pakistan (Pvt.) Ltd.,"Dubai, United Arab Emirates ",20 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/waoof8trbs3j-graduate-engineer-fresh-graduates-velosi-integrity-safety-pakistan-pvt-ltd-dubai-united-arab-emirates
Business Development Manager (Acquiring),Revolut,"Dubai, United Arab Emirates ",14 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/jxpmt8zi0ik1-business-development-manager-acquiring-revolut-dubai-united-arab-emirates
Analyst Q&A IT Ops - IT Operations Eng & Support,Wynn Al Marjan Island,"Ras al-Khaimah, United Arab Emirates ",16 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/kvlm2own9hsy-analyst-qa-it-ops-it-operations-eng-support-wynn-al-marjan-island-ras-al-khaimah-united-arab-emirates
Consulting Solution Engineer,IDeaS Revenue Solutions,"Dubai, United Arab Emirates ",13 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/e0kbelkg3qwn-consulting-solution-engineer-ideas-revenue-solutions-dubai-united-arab-emirates
Customer Development Consultant,Unilever,"Makkah, Saudi Arabia ",14 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/rq9eqlush3iy-customer-development-consultant-unilever-makkah-saudi-arabia
Technical Product Manager - Airline Operations,Emirates,"Dubai, United Arab Emirates ",15 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/po6fnqa0a9qf-technical-product-manager-airline-operations-emirates-dubai-united-arab-emirates
